ticker,open,close,adj_close,low,high,volume,date
AHH,9.880000114,9.539999962,7.154477596,9.470000267,9.949999809,130900,1/10/2013
AHH,9.510000229,9.659999847,7.24447155,9.460000038,9.75,68300,2/10/2013
AHH,9.56000042,9.600000381,7.199476242,9.489999771,9.699999809,85700,3/10/2013
AHH,9.720000267,9.739999771,7.304467201,9.670000076,9.899999619,41400,4/10/2013
AHH,9.699999809,9.720000267,7.289470196,9.699999809,9.93999958,36000,7/10/2013
AHH,9.729999542,9.720000267,7.289470196,9.649999619,9.840000153,36000,8/10/2013
AHH,9.760000229,9.600000381,7.199476242,9.539999962,9.800000191,47100,9/10/2013
AHH,9.770000458,9.930000305,7.446958065,9.720000267,9.979999542,59300,10/10/2013
AHH,9.899999619,10.22000027,7.664441586,9.800000191,10.22000027,37100,11/10/2013
AHH,10.21000004,10.21000004,7.656942368,10.10000038,10.35000038,26200,14/10/2013
AHH,10.15999985,10.06000042,7.544451237,10,10.18999958,36700,15/10/2013
AHH,10.06999969,10.18999958,7.641944885,9.739999771,10.21000004,89300,16/10/2013
AHH,10.14000034,10.22999954,7.671940804,10.05000019,10.30000019,41400,17/10/2013
AHH,10.30000019,10.47999954,7.859427929,10.23999977,10.48999977,72500,18/10/2013
AHH,10.46000004,10.52999973,7.896924496,10.32999992,10.55000019,52700,21/10/2013
AHH,10.57999992,10.61999989,7.964421272,10.43999958,10.64999962,59400,22/10/2013
AHH,10.52999973,10.68000031,8.009415627,10.52000046,10.69999981,44100,23/10/2013
AHH,10.64000034,10.40999985,7.806931019,10.27999973,10.64000034,52800,24/10/2013
AHH,10.44999981,10.51000023,7.881924629,10.26000023,10.60000038,30300,25/10/2013
AHH,10.52999973,10.61999989,7.964421272,10.30000019,10.64000034,53400,28/10/2013
AHH,10.61999989,10.13000011,7.596947193,10.02000046,10.61999989,63700,29/10/2013
AHH,10.10000038,9.949999809,7.461956024,9.949999809,10.23999977,43000,30/10/2013
AHH,10.06000042,9.619999886,7.214474201,9.600000381,10.06000042,67500,31/10/2013
AHH,9.600000381,9.619999886,7.214474201,9.520000458,9.649999619,77900,1/11/2013
AHH,9.659999847,9.619999886,7.214474201,9.56000042,9.699999809,49000,4/11/2013
AHH,9.619999886,9.5,7.124481201,9.470000267,9.630000114,54700,5/11/2013
AHH,9.5,9.579999924,7.184477329,9.399999619,9.640000343,88600,6/11/2013
APO,18.37000084,18.10000038,12.28056717,18.01000023,18.37000084,199600,13/04/2011
AHH,9.569999695,9.329999924,6.99698925,9.289999962,9.609999657,76100,7/11/2013
APO,18.01000023,18.25,12.38234138,18,18.27000046,408000,14/04/2011
AHH,9.380000114,9.489999771,7.11698246,9.380000114,9.619999886,82300,8/11/2013
APO,18.28000069,18.5,12.55196285,18.20999908,18.69000053,963000,15/04/2011
AHH,9.539999962,9.670000076,7.251971722,9.449999809,9.779999733,77700,11/11/2013
APO,18.5,18.18000031,12.33484745,17.95999908,18.59000015,720700,18/04/2011
AHH,9.670000076,9.729999542,7.296968937,9.43999958,9.880000114,84900,12/11/2013
APO,18.25,18.20000076,12.34841919,18.07999992,18.31999969,405000,19/04/2011
AHH,9.75,9.68999958,7.266971588,9.449999809,9.850000381,76600,13/11/2013
APO,18.38999939,18.22999954,12.36877346,18.10000038,18.38999939,498200,20/04/2011
AHH,9.680000305,9.710000038,7.281970024,9.590000153,9.770000458,44200,14/11/2013
APO,18.29999924,18.11000061,12.28735542,17.82999992,18.35000038,1196100,21/04/2011
AHH,9.670000076,9.93999958,7.454456806,9.670000076,9.949999809,84000,15/11/2013
APO,18.04000092,18.05999947,12.25343037,18.04000092,18.25,280800,25/04/2011
AHH,10,10.14999962,7.611945629,9.779999733,10.17000008,77900,18/11/2013
APO,18.20999908,18.18000031,12.33484745,17.89999962,18.23999977,622700,26/04/2011
AHH,10.10999966,9.850000381,7.386961937,9.800000191,10.10999966,89300,19/11/2013
APO,18.10000038,18.18000031,12.33484745,18.04000092,18.20000076,275400,27/04/2011
AHH,9.819999695,9.899999619,7.424458027,9.520000458,10,135200,20/11/2013
APO,18.11000061,18.11000061,12.28735542,17.86000061,18.27000046,539400,28/04/2011
AHH,9.93999958,10.10000038,7.574448586,9.829999924,10.10999966,56200,21/11/2013
APO,18.18000031,18.07999992,12.26699829,17.93000031,18.19000053,196000,29/04/2011
AHH,10.14000034,10.52999973,7.896924496,10.10999966,10.60000038,69300,22/11/2013
APO,18.06999969,18.19000053,12.3416357,17.93000031,18.29999924,555700,2/05/2011
AHH,10.53999996,10.21000004,7.656942368,10.15999985,10.60999966,45200,25/11/2013
APO,18.03000069,18.27000046,12.39591026,18.02000046,18.35000038,377400,3/05/2011
AHH,10.19999981,10.30000019,7.72443676,10.02999973,10.39999962,56400,26/11/2013
APO,18.22999954,17.97999954,12.19914818,17.75,18.34000015,614000,4/05/2011
AHH,10.23999977,10.25,7.686939716,9.93999958,10.31000042,80800,27/11/2013
APO,17.87999916,17.94000053,12.17200947,17.70000076,18.09000015,412200,5/05/2011
AHH,10.31000042,10.23999977,7.679440022,10.02999973,10.35999966,21900,29/11/2013
APO,18.17000008,17.96999931,12.19236851,17.90999985,18.17000008,405600,6/05/2011
AHH,10.21000004,9.880000114,7.409459591,9.840000153,10.22000027,53000,2/12/2013
APO,18.34000015,18.5,12.55196285,18.29999924,18.55999947,965400,9/05/2011
AHH,9.840000153,10.09000015,7.566948891,9.659999847,10.21000004,102900,3/12/2013
APO,18.60000038,18.70999908,12.69444466,18.47999954,18.76000023,666400,10/05/2011
AHH,10.07999992,10.03999996,7.529452324,9.899999619,10.27999973,80900,4/12/2013
APO,18.76000023,18.47999954,12.53839302,18.37999916,18.76000023,371000,11/05/2011
AHH,9.970000267,9.960000038,7.469455719,9.859999657,10.02999973,53900,5/12/2013
APO,18.79999924,18.42000008,12.49767971,18.04000092,18.90999985,722000,12/05/2011
AHH,10.06999969,10.09000015,7.566948891,9.960000038,10.19999981,46600,6/12/2013
APO,18.64999962,18.27000046,12.39591026,18.05999947,18.64999962,810300,13/05/2011
AHH,10.10000038,10.46000004,7.844429493,10.02000046,10.60999966,132500,9/12/2013
APO,18.42000008,17.82999992,12.09737968,17.59000015,18.5,988800,16/05/2011
AHH,10.40999985,10.02999973,7.521952629,9.930000305,10.48999977,73800,10/12/2013
APO,17.86000061,17.18000031,11.65636635,16.79999924,17.89999962,980900,17/05/2011
AHH,9.979999542,9.680000305,7.259472847,9.56000042,9.979999542,88100,11/12/2013
APO,17.37000084,17.85000038,12.11094856,17.18000031,18.18000031,823900,18/05/2011
AHH,9.699999809,9.449999809,7.086983681,9.369999886,9.739999771,65900,12/12/2013
APO,17.72999954,17.77000046,12.10413837,17.38999939,18,369400,19/05/2011
AHH,9.420000076,9.600000381,7.199476242,9.420000076,9.659999847,65300,13/12/2013
APO,17.76000023,17.85000038,12.15862942,17.76000023,18.07999992,508200,20/05/2011
AHH,9.600000381,9.640000343,7.229472637,9.510000229,9.699999809,61900,16/12/2013
APO,17.40999985,17.60000038,11.98834038,17.37999916,17.98999977,309200,23/05/2011
AHH,9.590000153,9.5,7.124481201,9.350000381,9.630000114,88000,17/12/2013
